"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/11 17:00'45"	"41831.7088541667"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:01'05"	"41831.7090856481"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:01'25"	"41831.7093171296"	"  23.0000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:01'45"	"41831.7095486111"	"  23.0000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:02'05"	"41831.7097800926"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 17:02'25"	"41831.7100115741"	"  22.9000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:02'45"	"41831.7102430556"	"  22.9000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:03'05"	"41831.7104745370"	"  22.9000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:03'25"	"41831.7107060185"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:03'45"	"41831.7109375000"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:04'05"	"41831.7111689815"	"  22.9000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:04'25"	"41831.7114004630"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:04'45"	"41831.7116319444"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:05'05"	"41831.7118634259"	"  22.9000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:05'25"	"41831.7120949074"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:05'45"	"41831.7123263889"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:06'05"	"41831.7125578704"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:06'25"	"41831.7127893519"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:06'45"	"41831.7130208333"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:07'05"	"41831.7132523148"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:07'25"	"41831.7134837963"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:07'45"	"41831.7137152778"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:08'05"	"41831.7139467593"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:08'25"	"41831.7141782407"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:08'45"	"41831.7144097222"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:09'05"	"41831.7146412037"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:09'25"	"41831.7148726852"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:09'45"	"41831.7151041667"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:10'05"	"41831.7153356481"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:10'25"	"41831.7155671296"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:10'45"	"41831.7157986111"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:11'05"	"41831.7160300926"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:11'25"	"41831.7162615741"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:11'45"	"41831.7164930556"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:12'05"	"41831.7167245370"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:12'25"	"41831.7169560185"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:12'45"	"41831.7171875000"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:13'05"	"41831.7174189815"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:13'25"	"41831.7176504630"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:13'45"	"41831.7178819444"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:14'05"	"41831.7181134259"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:14'25"	"41831.7183449074"	"  22.8000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 17:14'45"	"41831.7185763889"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:15'05"	"41831.7188078704"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:15'25"	"41831.7190393519"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:15'45"	"41831.7192708333"	"  22.9000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:16'05"	"41831.7195023148"	"  22.9000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:16'25"	"41831.7197337963"	"  22.9000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:16'45"	"41831.7199652778"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:17'05"	"41831.7201967593"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:17'25"	"41831.7204282407"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:17'45"	"41831.7206597222"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:18'05"	"41831.7208912037"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:18'25"	"41831.7211226852"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:18'45"	"41831.7213541667"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:19'05"	"41831.7215856481"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:19'25"	"41831.7218171296"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:19'45"	"41831.7220486111"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:20'05"	"41831.7222800926"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:20'25"	"41831.7225115741"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:20'45"	"41831.7227430556"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:21'05"	"41831.7229745370"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:21'25"	"41831.7232060185"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:21'45"	"41831.7234375000"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:22'05"	"41831.7236689815"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:22'25"	"41831.7239004630"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:22'45"	"41831.7241319444"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:23'05"	"41831.7243634259"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:23'25"	"41831.7245949074"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:23'45"	"41831.7248263889"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:24'05"	"41831.7250578704"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:24'25"	"41831.7252893519"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:24'45"	"41831.7255208333"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:25'05"	"41831.7257523148"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:25'25"	"41831.7259837963"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:25'45"	"41831.7262152778"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:26'05"	"41831.7264467593"	"  22.8000"	"  53.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:26'25"	"41831.7266782407"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:26'45"	"41831.7269097222"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:27'05"	"41831.7271412037"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:27'25"	"41831.7273726852"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:27'45"	"41831.7276041667"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:28'05"	"41831.7278356481"	"  22.7000"	"  54.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:28'25"	"41831.7280671296"	"  22.7000"	"  54.0000"	"  984.2000"	""	""	""	""	""	
"2014/07/11 17:28'45"	"41831.7282986111"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:29'05"	"41831.7285300926"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:29'25"	"41831.7287615741"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:29'45"	"41831.7289930556"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:30'05"	"41831.7292245370"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:30'25"	"41831.7294560185"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:30'45"	"41831.7296875000"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:31'05"	"41831.7299189815"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:31'25"	"41831.7301504630"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:31'45"	"41831.7303819444"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:32'05"	"41831.7306134259"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:32'25"	"41831.7308449074"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:32'45"	"41831.7310763889"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:33'05"	"41831.7313078704"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:33'25"	"41831.7315393519"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:33'45"	"41831.7317708333"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:34'05"	"41831.7320023148"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:34'25"	"41831.7322337963"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:34'45"	"41831.7324652778"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:35'05"	"41831.7326967593"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:35'25"	"41831.7329282407"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:35'45"	"41831.7331597222"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:36'05"	"41831.7333912037"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:36'25"	"41831.7336226852"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:36'45"	"41831.7338541667"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:37'05"	"41831.7340856481"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:37'25"	"41831.7343171296"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:37'45"	"41831.7345486111"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:38'05"	"41831.7347800926"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:38'25"	"41831.7350115741"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:38'45"	"41831.7352430556"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:39'05"	"41831.7354745370"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:39'25"	"41831.7357060185"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:39'45"	"41831.7359375000"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:40'05"	"41831.7361689815"	"  22.7000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:40'25"	"41831.7364004630"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:40'45"	"41831.7366319444"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:41'05"	"41831.7368634259"	"  22.8000"	"  53.0000"	"  984.3000"	""	""	""	""	""	
"2014/07/11 17:41'25"	"41831.7370949074"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:41'45"	"41831.7373263889"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:42'05"	"41831.7375578704"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:42'25"	"41831.7377893519"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:42'45"	"41831.7380208333"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:43'05"	"41831.7382523148"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:43'25"	"41831.7384837963"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:43'45"	"41831.7387152778"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:44'05"	"41831.7389467593"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:44'25"	"41831.7391782407"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:44'45"	"41831.7394097222"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:45'05"	"41831.7396412037"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:45'25"	"41831.7398726852"	"  22.8000"	"  53.0000"	"  984.4000"	""	""	""	""	""	
"2014/07/11 17:45'45"	"41831.7401041667"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:46'05"	"41831.7403356481"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:46'25"	"41831.7405671296"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:46'45"	"41831.7407986111"	"  22.8000"	"  53.0000"	"  984.6000"	""	""	""	""	""	
"2014/07/11 17:47'05"	"41831.7410300926"	"  22.8000"	"  53.0000"	"  984.6000"	""	""	""	""	""	
"2014/07/11 17:47'25"	"41831.7412615741"	"  22.8000"	"  53.0000"	"  984.6000"	""	""	""	""	""	
"2014/07/11 17:47'45"	"41831.7414930556"	"  22.8000"	"  53.0000"	"  984.6000"	""	""	""	""	""	
"2014/07/11 17:48'05"	"41831.7417245370"	"  22.8000"	"  53.0000"	"  984.5000"	""	""	""	""	""	
"2014/07/11 17:48'25"	"41831.7419560185"	"  22.8000"	"  53.0000"	"  984.6000"	""	""	""	""	""	
"2014/07/11 17:48'45"	"41831.7421875000"	"  22.8000"	"  53.0000"	"  984.6000"	""	""	""	""	""	
"2014/07/11 17:49'05"	"41831.7424189815"	"  22.8000"	"  53.0000"	"  984.6000"	""	""	""	""	""	
"2014/07/11 17:49'25"	"41831.7426504630"	"  22.8000"	"  53.0000"	"  984.6000"	""	""	""	""	""	
"2014/07/11 17:49'45"	"41831.7428819444"	"  22.8000"	"  53.0000"	"  984.6000"	""	""	""	""	""	
"2014/07/11 17:50'05"	"41831.7431134259"	"  22.8000"	"  53.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:50'25"	"41831.7433449074"	"  22.8000"	"  53.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:50'45"	"41831.7435763889"	"  22.8000"	"  53.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:51'05"	"41831.7438078704"	"  22.8000"	"  53.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:51'25"	"41831.7440393519"	"  22.8000"	"  53.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:51'45"	"41831.7442708333"	"  22.8000"	"  53.0000"	"  984.6000"	""	""	""	""	""	
"2014/07/11 17:52'05"	"41831.7445023148"	"  22.7000"	"  54.0000"	"  984.6000"	""	""	""	""	""	
"2014/07/11 17:52'25"	"41831.7447337963"	"  22.7000"	"  53.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:52'45"	"41831.7449652778"	"  22.7000"	"  53.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:53'05"	"41831.7451967593"	"  22.7000"	"  53.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:53'25"	"41831.7454282407"	"  22.7000"	"  53.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 17:53'45"	"41831.7456597222"	"  22.7000"	"  53.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 17:54'05"	"41831.7458912037"	"  22.8000"	"  53.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:54'25"	"41831.7461226852"	"  22.7000"	"  53.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:54'45"	"41831.7463541667"	"  22.7000"	"  54.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:55'05"	"41831.7465856481"	"  22.8000"	"  54.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:55'25"	"41831.7468171296"	"  22.8000"	"  54.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 17:55'45"	"41831.7470486111"	"  22.8000"	"  54.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:56'05"	"41831.7472800926"	"  22.8000"	"  54.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:56'25"	"41831.7475115741"	"  22.9000"	"  54.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:56'45"	"41831.7477430556"	"  22.9000"	"  54.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:57'05"	"41831.7479745370"	"  22.9000"	"  54.0000"	"  984.7000"	""	""	""	""	""	
"2014/07/11 17:57'25"	"41831.7482060185"	"  22.9000"	"  54.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 17:57'45"	"41831.7484375000"	"  22.9000"	"  54.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 17:58'05"	"41831.7486689815"	"  22.9000"	"  54.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 17:58'25"	"41831.7489004630"	"  22.9000"	"  54.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 17:58'45"	"41831.7491319444"	"  22.9000"	"  54.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 17:59'05"	"41831.7493634259"	"  22.9000"	"  54.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 17:59'25"	"41831.7495949074"	"  22.8000"	"  54.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 17:59'45"	"41831.7498263889"	"  22.8000"	"  54.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 18:00'05"	"41831.7500578704"	"  22.8000"	"  54.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 18:00'25"	"41831.7502893519"	"  22.8000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:00'45"	"41831.7505208333"	"  22.8000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:01'05"	"41831.7507523148"	"  22.8000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:01'25"	"41831.7509837963"	"  22.8000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:01'45"	"41831.7512152778"	"  22.8000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:02'05"	"41831.7514467593"	"  22.8000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:02'25"	"41831.7516782407"	"  22.8000"	"  54.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 18:02'45"	"41831.7519097222"	"  22.8000"	"  53.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 18:03'05"	"41831.7521412037"	"  22.8000"	"  53.0000"	"  984.8000"	""	""	""	""	""	
"2014/07/11 18:03'25"	"41831.7523726852"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:03'45"	"41831.7526041667"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:04'05"	"41831.7528356481"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:04'25"	"41831.7530671296"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:04'45"	"41831.7532986111"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:05'05"	"41831.7535300926"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:05'25"	"41831.7537615741"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:05'45"	"41831.7539930556"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:06'05"	"41831.7542245370"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:06'25"	"41831.7544560185"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:06'45"	"41831.7546875000"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:07'05"	"41831.7549189815"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:07'25"	"41831.7551504630"	"  22.8000"	"  53.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:07'45"	"41831.7553819444"	"  22.7000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:08'05"	"41831.7556134259"	"  22.7000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:08'25"	"41831.7558449074"	"  22.7000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:08'45"	"41831.7560763889"	"  22.7000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:09'05"	"41831.7563078704"	"  22.7000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:09'25"	"41831.7565393519"	"  22.7000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:09'45"	"41831.7567708333"	"  22.7000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:10'05"	"41831.7570023148"	"  22.7000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:10'25"	"41831.7572337963"	"  22.6000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:10'45"	"41831.7574652778"	"  22.6000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:11'05"	"41831.7576967593"	"  22.6000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:11'25"	"41831.7579282407"	"  22.6000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:11'45"	"41831.7581597222"	"  22.7000"	"  53.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:12'05"	"41831.7583912037"	"  22.7000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:12'25"	"41831.7586226852"	"  22.7000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:12'45"	"41831.7588541667"	"  22.7000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:13'05"	"41831.7590856481"	"  22.7000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:13'25"	"41831.7593171296"	"  22.7000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:13'45"	"41831.7595486111"	"  22.7000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:14'05"	"41831.7597800926"	"  22.7000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:14'25"	"41831.7600115741"	"  22.7000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:14'45"	"41831.7602430556"	"  22.7000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:15'05"	"41831.7604745370"	"  22.7000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:15'25"	"41831.7607060185"	"  22.7000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:15'45"	"41831.7609375000"	"  22.7000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:16'05"	"41831.7611689815"	"  22.6000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:16'25"	"41831.7614004630"	"  22.6000"	"  54.0000"	"  984.9000"	""	""	""	""	""	
"2014/07/11 18:16'45"	"41831.7616319444"	"  22.6000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:17'05"	"41831.7618634259"	"  22.6000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
"2014/07/11 18:17'25"	"41831.7620949074"	"  22.6000"	"  54.0000"	"  985.0000"	""	""	""	""	""	
