"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/11 16:03'25"	"41831.6690393519"	"  23.1000"	"  54.0000"	"  983.6000"	""	""	""	""	""	
"2014/07/11 16:03'45"	"41831.6692708333"	"  23.1000"	"  54.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:04'05"	"41831.6695023148"	"  23.0000"	"  54.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:04'25"	"41831.6697337963"	"  23.0000"	"  54.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:04'45"	"41831.6699652778"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:05'05"	"41831.6701967593"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:05'25"	"41831.6704282407"	"  23.1000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:05'45"	"41831.6706597222"	"  23.1000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:06'05"	"41831.6708912037"	"  23.1000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:06'25"	"41831.6711226852"	"  23.1000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:06'45"	"41831.6713541667"	"  23.1000"	"  54.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:07'05"	"41831.6715856481"	"  23.1000"	"  54.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:07'25"	"41831.6718171296"	"  23.1000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:07'45"	"41831.6720486111"	"  23.1000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:08'05"	"41831.6722800926"	"  23.1000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:08'25"	"41831.6725115741"	"  23.1000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:08'45"	"41831.6727430556"	"  23.1000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:09'05"	"41831.6729745370"	"  23.1000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:09'25"	"41831.6732060185"	"  23.1000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:09'45"	"41831.6734375000"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:10'05"	"41831.6736689815"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:10'25"	"41831.6739004630"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:10'45"	"41831.6741319444"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:11'05"	"41831.6743634259"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:11'25"	"41831.6745949074"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:11'45"	"41831.6748263889"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:12'05"	"41831.6750578704"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:12'25"	"41831.6752893519"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:12'45"	"41831.6755208333"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:13'05"	"41831.6757523148"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:13'25"	"41831.6759837963"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:13'45"	"41831.6762152778"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:14'05"	"41831.6764467593"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:14'25"	"41831.6766782407"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:14'45"	"41831.6769097222"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:15'05"	"41831.6771412037"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:15'25"	"41831.6773726852"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:15'45"	"41831.6776041667"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:16'05"	"41831.6778356481"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:16'25"	"41831.6780671296"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:16'45"	"41831.6782986111"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:17'05"	"41831.6785300926"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:17'25"	"41831.6787615741"	"  23.0000"	"  53.0000"	"  983.6000"	""	""	""	""	""	
"2014/07/11 16:17'45"	"41831.6789930556"	"  23.0000"	"  53.0000"	"  983.6000"	""	""	""	""	""	
"2014/07/11 16:18'05"	"41831.6792245370"	"  22.9000"	"  54.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:18'25"	"41831.6794560185"	"  22.9000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:18'45"	"41831.6796875000"	"  22.9000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:19'05"	"41831.6799189815"	"  22.9000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:19'25"	"41831.6801504630"	"  22.9000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:19'45"	"41831.6803819444"	"  22.9000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:20'05"	"41831.6806134259"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
